"mlbid","name","position","full_name","nickname","dob"
119704,"Jeff Nelson","P","Jeffrey Allan Nelson ",NA,"11/17/1966 in Baltimore, MD "
121749,"Mac Scarce","P","Guerrant Mc Scarce ",NA,"4/8/1949 in Danville, VA "
137004,"Mike Duvall","P","Michael Alan Duvall ",NA,"10/11/1974 in Warrenton, VA "
119674,"Jack Neagle","P","John Henry Neagle ",NA,"1/2/1858 in Syracuse, NY "
121747,"Randy Scarbery","P","Randy James Scarbery ",NA,"6/22/1952 in Fresno, CA "
137000,"Brian Simmons","LF","Brian Lee Simmons ",NA,"9/4/1973 in Mt. Lebanon, PA "
119626,"Randy Myers","P","Randall Kirk Myers ",NA,"9/19/1962 in Vancouver, WA "
121697,"Ron Santo","3B","Ronald Edward Santo ",NA,"2/25/1940 in Seattle, WA "
136900,"Mike Metcalfe","LF","Michael Henry Metcalfe ",NA,"1/2/1973 in Quantico, VA "
120570,"Dick Pierson","2B","Edmund Dana Pierson ",NA,"10/24/1857 in Wilkes-Barre, PA "
121594,"Johnny Ryan","OF","John Joseph Ryan ",NA,"10/1/1853 in Philadelphia, PA "
121677,"War Sanders","P","Warren Williams Sanders ",NA,"8/2/1877 in Maynardville, TN "
136860,"Carlos Beltran","RF","Carlos Ivan Beltran ",NA,"4/24/1977 in Manati, Puerto Rico "
121590,"Jack Ryan","C","John Bernard Ryan ",NA,"11/12/1868 in Haverhill, MA "
121589,"John Ryan","P","John A. Ryan ",NA,"in Birmingham, MI "
121588,"Jimmy Ryan","OF","James Edward Ryan ","Pony","2/11/1863 in Clinton, MA "
121587,"Jack Ryan","P","Jack Ryan ","Gulfport","9/19/1884 in Lawrenceville, IL "
119594,"Rich Murray","1B","Richard Dale Murray ",NA,"7/6/1957 in Los Angeles, CA "
121586,"Mike Ryan","3B","J. Ryan ",NA,"in St.Louis, MO "
121576,"Dick Rusteck","P","Richard Frank Rusteck ",NA,"7/12/1941 in Chicago, IL "
121575,"Marius Russo","P","Marius Ugo Russo ","Lefty","7/19/1914 in Brooklyn, NY "
121574,"Bill Russell","SS","William Ellis Russell ","Ropes","10/21/1948 in Pittsburg, KS "
121572,"Lloyd Russell","PR","Lloyd Opal Russell ",NA,"4/10/1913 in Atoka, OK "
110902,"Joe Berger","2B","Joseph August Berger ","Fats","12/20/1886 in St. Louis, MO "
123191,"Bob Terlecki","P","Robert Joseph Terlecki ",NA,"2/14/1945 in Trenton, NJ "
121154,"Nolen Richardson","3B","Clifford Nolen Richardson ",NA,"1/18/1903 in Chattanooga, TN "
120084,"Fred Osborn","OF","Wilfred Pearl Osborn ","Ossie","11/28/1883 in Nevada, OH "
118051,"Hersh Lyons","P","Herschel Englebert Lyons ",NA,"7/23/1915 in Fresno, CA "
121153,"Hardy Richardson","2B","Abram Harding Richardson ","Old True Blue","4/21/1855 in Clarksboro, NJ "
121105,"Danny Reynolds","SS","Daniel Vance Reynolds ","Squirrel","11/27/1919 in Stony Point, NC "
121569,"Jeff Russell","P","Jeffrey Lee Russell ",NA,"9/2/1961 in Cincinnati, OH "
121568,"Jim Russell","OF","James William Russell ",NA,"10/1/1918 in Fayette City, PA "
121567,"Jack Russell","P","Jack Erwin Russell ",NA,"10/24/1905 in Paris, TX "
120582,"Squiz Pillion","P","Cecil Randolph Pillion ",NA,"4/13/1894 in Hartford, CT "
