"yahooid","name","position","full_name","nickname","dob"
10000,"Nomar Mazara","RF",NA,NA,"1995-04-26"
9999,"Brian Johnson","SP",NA,NA,"1990-12-07"
9996,"Trevor Gott","RP",NA,NA,"1992-08-26"
9995,"Michael Broadway","RP",NA,NA,"1987-03-30"
9994,"Kyle Kubitza","3B",NA,NA,"1990-07-15"
9993,"Adam Conley","SP",NA,NA,"1990-05-24"
9992,"Vince Velásquez","SP",NA,NA,"1992-06-07"
9991,"Giovanny Urshela","3B",NA,NA,"1991-10-11"
9990,"Taylor Jungmann","SP",NA,NA,"1989-12-18"
9988,"Scott Schebler","LF",NA,NA,"1990-10-06"
9987,"Joe Ross","SP",NA,NA,"1993-05-21"
9986,"Pat Venditte","RP",NA,NA,"1985-06-30"
9985,"Jon Moscot","SP",NA,NA,"1991-08-15"
9984,"Josh Ravin","RP",NA,NA,"1988-01-21"
9983,"Daniel Fields","LF",NA,NA,"1991-01-23"
9982,"Édgar Ibarra","RP",NA,NA,"1989-05-31"
9980,"Tyler Cravy","SP",NA,NA,"1989-07-13"
9979,"Ramón Flores","LF",NA,NA,"1992-03-26"
9978,"Michael Feliz","RP",NA,NA,"1993-06-28"
9976,"Chi Chi González","SP",NA,NA,"1992-01-15"
9975,"Hanser Alberto","2B",NA,NA,"1992-10-17"
9974,"Héctor Olivera","3B",NA,NA,"1985-04-05"
9973,"David Goforth","RP",NA,NA,"1988-10-11"
9972,"Dixon Machado","SS",NA,NA,"1992-02-22"
9971,"Austin Barnes","C",NA,NA,"1989-12-28"
9970,"Darrell Ceciliani","LF",NA,NA,"1990-06-22"
9968,"Kendry Flores","RP",NA,NA,"1991-11-24"
9967,"Tyler Wilson","SP",NA,NA,"1989-09-25"
9966,"Adonis Garcia","3B",NA,NA,"1985-04-12"
9965,"Wilfredo Boscán","RP",NA,NA,"1989-10-26"
9964,"Mike Wright","SP",NA,NA,"1990-01-03"
9963,"Chris Beck","SP",NA,NA,"1990-09-04"
9962,"Andrew Bellatti","RP",NA,NA,"1991-08-05"
9961,"Travis Shaw","1B",NA,NA,"1990-04-16"
9960,"Ángel Castro","RP",NA,NA,"1982-11-14"
9959,"Ryan Tepera","RP",NA,NA,"1987-11-03"
9958,"Preston Tucker","LF",NA,NA,"1990-07-06"
9957,"Williams Pérez","SP",NA,NA,"1991-05-21"
9956,"Carlos Pérez","C",NA,NA,"1990-10-27"
9955,"Ken Roberts","RP",NA,NA,"1988-03-09"
9954,"Elvis Araujo","RP",NA,NA,"1991-07-15"
9952,"Dalier Hinojosa","RP",NA,NA,"1986-02-10"
9951,"Sammy Solís","RP",NA,NA,"1988-08-10"
9950,"Enrique Burgos","RP",NA,NA,"1990-11-23"
9949,"Michael Lorenzen","SP",NA,NA,"1992-01-04"
9948,"Jack Leathersich","RP",NA,NA,"1990-07-14"
9947,"Tim Cooney","SP",NA,NA,"1990-12-19"
9946,"Cory Mazzoni","RP",NA,NA,"1989-10-19"
9945,"Cody Stanley","C",NA,NA,"1988-12-21"
9944,"Severino Gonzalez","SP",NA,NA,"1992-09-28"
9943,"Rey Navarro","2B",NA,NA,"1989-12-22"
9942,"John Cornely","RP",NA,NA,"1989-05-17"
9940,"Danny Dorn","RF",NA,NA,"1984-07-20"
9939,"Mitch Harris","RP",NA,NA,"1985-11-07"
9938,"Hansel Robles","RP",NA,NA,"1990-08-13"
9936,"Adam Liberatore","RP",NA,NA,"1987-05-12"
9935,"Ryan Brett","2B",NA,NA,"1991-10-09"
9934,"Felipe Rivero","RP",NA,NA,"1991-07-05"
9933,"Branden Pinder","RP",NA,NA,"1989-01-26"
9932,"Rafael Martín","RP",NA,NA,"1984-05-16"
9931,"José Urena","SP",NA,NA,"1991-09-12"
9930,"Joel De La Cruz","RP",NA,NA,"1989-06-09"
9928,"Josh Smith","SP",NA,NA,"1987-08-07"
9927,"A.J. Schugel","RP",NA,NA,"1989-06-27"
9926,"Scott Oberg","RP",NA,NA,"1990-03-13"
9925,"Matt Tracy","RP",NA,NA,"1988-11-26"
9924,"Chris Rearick","RP",NA,NA,"1987-12-05"
9923,"Ed Easley","C",NA,NA,"1985-12-21"
9922,"Allan Dykstra","1B",NA,NA,"1987-05-21"
9920,"Cody Martin","RP",NA,NA,"1989-09-04"
9919,"Jason García","RP",NA,NA,"1992-11-21"
9918,"Paulo Orlando","RF",NA,NA,"1985-11-01"
9916,"Keone Kela","RP",NA,NA,"1993-04-16"
9915,"Logan Verrett","RP",NA,NA,"1990-06-19"
9914,"Danny Muno","3B",NA,NA,"1989-02-09"
9912,"Tyler Olson","RP",NA,NA,"1989-10-02"
9911,"Andrew McKirahan","RP",NA,NA,"1990-02-08"
9910,"Dan Winkler","RP",NA,NA,"1990-02-02"
9908,"David Rollins","RP",NA,NA,"1989-12-21"
9907,"Roberto Osuna","RP",NA,NA,"1995-02-07"
9906,"Odubel Herrera","CF",NA,NA,"1991-12-29"
9904,"Matt Andriese","SP",NA,NA,"1989-08-29"
9903,"Miguel Castro","RP",NA,NA,"1994-12-24"
